"","state","fips2","tvote","vep","vepnov","turnoutvep","sc_fips"
"2366","46",46079,6786,10157.5185546875,10245.6923828125,0.662327110767365,"46079"
"2367","46",46081,11842,19534.552734375,19553.8203125,0.605610549449921,"46081"
"2368","46",46083,25231,38374.98046875,38867.9765625,0.649146199226379,"46083"
"2369","46",46085,1421,2737.96484375,2737.20532226562,0.519142627716064,"46085"
"2370","46",46087,2587,4056.02124023438,4073.14501953125,0.635135769844055,"46087"
"2371","46",46089,1137,1857.05627441406,1858.12683105469,0.611906588077545,"46089"
"2372","46",46091,1947,3598.26806640625,3601.56518554688,0.540598273277283,"46091"
"2373","46",46093,11621,20629.9296875,20786.69140625,0.559059619903564,"46093"
"2374","46",46095,683,1442.05920410156,1449.28137207031,0.471268057823181,"46095"
"2375","46",46097,1064,1726.18774414062,1728.04541015625,0.615724563598633,"46097"
"2376","46",46099,78263,129130.296875,128678,0.608208060264587,"46099"
"2377","46",46101,2933,4687.4345703125,4700.5888671875,0.623964369297028,"46101"
"2378","46",46102,2905,8934.9658203125,8956.3193359375,0.324351996183395,"46102"
"2379","46",46103,47743,80030.03125,79995.4140625,0.5968217253685,"46103"
"2380","46",46105,1606,2337.43188476562,2333.84912109375,0.688133597373962,"46105"
"2381","46",46107,1337,1807.73181152344,1807.02294921875,0.739890992641449,"46107"
"2382","46",46109,3889,7288.0693359375,7288.6025390625,0.533572793006897,"46109"
"2383","46",46111,1123,1796.47399902344,1798.58276367188,0.624380469322205,"46111"
"2384","46",46115,2951,4864.56005859375,4858.25146484375,0.607420206069946,"46115"
"2385","46",46117,1567,2247.81469726562,2255.39794921875,0.694777607917786,"46117"
"2386","46",46119,861,1084.31408691406,1086.07397460938,0.792763650417328,"46119"
"2387","46",46121,2125,5934.27197265625,5962.77734375,0.35637754201889,"46121"
"2388","46",46123,2630,4166.54150390625,4176.99755859375,0.629638850688934,"46123"
"2389","46",46125,4150,6311.87939453125,6333.7685546875,0.655218124389648,"46125"
"2390","46",46127,7897,11187.0703125,11222.2216796875,0.703693091869354,"46127"
"2391","46",46129,2477,4195.857421875,4204.46435546875,0.589135706424713,"46129"
"2392","46",46135,9623,16721.529296875,16731.3828125,0.575146734714508,"46135"
"2393","46",46137,767,1871.48474121094,1882.17639160156,0.407506972551346,"46137"
"2394","47",47001,29881,57306.2421875,57232.7578125,0.52209609746933,"47001"
"2395","47",47003,15355,31701.1015625,31898.505859375,0.481370508670807,"47003"
"2396","47",47005,6328,12546.0888671875,12534.828125,0.504833400249481,"47005"
"2397","47",47007,4664,10896.2861328125,10935.388671875,0.42650517821312,"47007"
"2398","47",47009,52208,98234.4609375,98723.078125,0.528832793235779,"47009"
"2399","47",47011,38666,76803.8125,77009.0390625,0.502096891403198,"47011"
"2400","47",47013,12532,30911.173828125,30902.8359375,0.405529111623764,"47013"
"2401","47",47015,5314,10796.3134765625,10852.29296875,0.489666104316711,"47015"
"2402","47",47017,10384,20133.85546875,19901.376953125,0.521772921085358,"47017"
"2403","47",47019,21084,43744.63671875,43676.1953125,0.482734352350235,"47019"
"2404","47",47021,15924,29632.40234375,29654.40234375,0.53698605298996,"47021"
"2405","47",47023,6507,13312.7919921875,13329.4111328125,0.488168597221375,"47023"
"2406","47",47025,10740,25005.173828125,25053.32421875,0.428685635328293,"47025"
"2407","47",47027,2920,6082.41455078125,6070.5830078125,0.481008172035217,"47027"
"2408","47",47029,12126,27609.310546875,27678.234375,0.438105970621109,"47029"
"2409","47",47031,19971,39705.83203125,39802.10546875,0.501757383346558,"47031"
"2410","47",47033,5397,10276.65234375,10256.3974609375,0.526208162307739,"47033"
"2411","47",47035,26360,46780.4375,46922.29296875,0.561779856681824,"47035"
"2412","47",47037,249068,462552.5,462665.625,0.538332641124725,"47037"
"2413","47",47039,4592,9008.66015625,9016.3662109375,0.509296059608459,"47039"
"2414","47",47041,6955,14082.7294921875,14130.126953125,0.49221071600914,"47041"
"2415","47",47043,18699,38126.79296875,38282.43359375,0.488448560237885,"47043"
"2416","47",47045,13336,27743.005859375,27717.322265625,0.481143146753311,"47045"
"2417","47",47047,19394,30752.138671875,30894.8046875,0.627743065357208,"47047"
"2418","47",47049,7333,13968.25,14025.0986328125,0.52284836769104,"47049"
"2419","47",47051,16404,31987.43359375,32018.83984375,0.512323379516602,"47051"
"2420","47",47053,19547,36445.80859375,36429.28515625,0.536573827266693,"47053"
"2421","47",47055,11137,21908.70703125,21932.044921875,0.507795810699463,"47055"
"2422","47",47057,8008,17885.060546875,17959.14453125,0.445900976657867,"47057"
"2423","47",47059,23583,53430.51171875,53503.0703125,0.440778434276581,"47059"
"2424","47",47061,4763,10293.6533203125,10268.1142578125,0.463863164186478,"47061"
"2425","47",47063,20692,44260.30078125,44383.0546875,0.466213971376419,"47063"
"2426","47",47065,142408,265244.6875,266024.59375,0.535318911075592,"47065"
"2427","47",47067,2231,5020.8818359375,5033.564453125,0.443224668502808,"47067"
"2428","47",47069,9273,16681.955078125,16613.474609375,0.558161377906799,"47069"
"2429","47",47071,9949,20042.265625,20070.4140625,0.495704770088196,"47071"
"2430","47",47073,20774,44151,44203.11328125,0.469966888427734,"47073"
"2431","47",47075,6834,13103.90625,13087.3095703125,0.522185266017914,"47075"
"2432","47",47077,10217,20947.3671875,20924.83984375,0.488271355628967,"47077"
"2433","47",47079,12945,25017.583984375,25075.765625,0.51623547077179,"47079"
"2434","47",47081,7813,17283.9921875,17259.15625,0.45268726348877,"47081"
"2435","47",47083,3168,6236.30322265625,6242.39794921875,0.507497310638428,"47083"
"2436","47",47085,7153,14046.71484375,14108.720703125,0.506991386413574,"47085"
"2437","47",47087,4466,9221.2978515625,9245.103515625,0.483066529035568,"47087"
"2438","47",47089,19072,41374.91796875,41499.234375,0.459574729204178,"47089"
"2439","47",47091,6579,12686.943359375,12675.5146484375,0.519032180309296,"47091"
"2440","47",47093,180697,344150.8125,345976.125,0.52228170633316,"47093"
"2441","47",47095,1970,3708.96899414062,3715.1259765625,0.530264675617218,"47095"
"2442","47",47097,8087,17348.099609375,17315.18359375,0.467046737670898,"47097"
"2443","47",47099,15666,31393.888671875,31539.22265625,0.49671483039856,"47099"
"2444","47",47101,4622,9009.2236328125,9009.2744140625,0.513026893138885,"47101"
"2445","47",47103,13348,25469.29296875,25481.263671875,0.523835897445679,"47103"
"2446","47",47105,23391,39287.36328125,39447.9140625,0.592959105968475,"47105"
"2447","47",47107,18755,39109.78515625,39065.03515625,0.480096846818924,"47107"
"2448","47",47109,10038,19802.55078125,19807.5,0.506777763366699,"47109"
"2449","47",47111,7504,16921.783203125,17022.634765625,0.440824836492538,"47111"
"2450","47",47113,38120,71994.875,71897.9765625,0.530195713043213,"47113"
"2451","47",47115,10862,22048.33984375,22080.2734375,0.491932302713394,"47115"
"2452","47",47117,11455,23327.5078125,23457.40625,0.488331913948059,"47117"
"2453","47",47119,35369,67349.8828125,68213.7890625,0.518502175807953,"47119"
"2454","47",47121,4320,9278.56640625,9308.6630859375,0.464083820581436,"47121"
"2455","47",47123,17093,32961.3125,32837.79296875,0.520528256893158,"47123"
"2456","47",47125,57620,139180.15625,140012.078125,0.411535918712616,"47125"
"2457","47",47127,2926,5000.0458984375,5015.13330078125,0.583434164524078,"47127"
"2458","47",47129,6705,13973.7666015625,13989.1494140625,0.479300051927567,"47129"
"2459","47",47131,12249,23107.568359375,23105.626953125,0.530130624771118,"47131"
"2460","47",47133,8229,16842.384765625,16845.513671875,0.488498002290726,"47133"
"2461","47",47135,2855,6105.98681640625,6118.26171875,0.466635793447495,"47135"
"2462","47",47137,2615,4093.74536132812,4104.23583984375,0.637146592140198,"47137"
"2463","47",47139,6520,13072.9580078125,13100.0537109375,0.49770787358284,"47139"
"2464","47",47141,27212,55375.58203125,55647.05078125,0.489010632038116,"47141"
"2465","47",47143,11062,24402.791015625,24437.029296875,0.452673673629761,"47143"
"2466","47",47145,21669,39529.17578125,39287.01171875,0.551556348800659,"47145"
"2467","47",47147,27113,48352.5234375,48425.08203125,0.559895813465118,"47147"
"2468","47",47149,107436,216375.65625,219420.734375,0.489634662866592,"47149"
"2469","47",47151,7123,16259.4814453125,16263.55078125,0.437973231077194,"47151"
"2470","47",47153,5694,11352.2646484375,11404.9208984375,0.499258190393448,"47153"
"2471","47",47155,36312,72075.2890625,72360.96875,0.501817464828491,"47155"
"2472","47",47157,337383,628900.25,628375.8125,0.536912798881531,"47157"
"2473","47",47159,7436,14623.8916015625,14689.3955078125,0.506215512752533,"47159"
"2474","47",47161,5299,10241.9794921875,10237.1708984375,0.517623484134674,"47161"
"2475","47",47163,62278,122153.6328125,122075.9609375,0.510157763957977,"47163"
"2476","47",47165,71505,132859.75,134237.71875,0.532674431800842,"47165"
"2477","47",47167,23481,43350.43359375,43253.546875,0.542868793010712,"47167"
"2478","47",47169,3160,6234.39501953125,6301.2568359375,0.501487255096436,"47169"
"2479","47",47171,7195,13715.9501953125,13707.994140625,0.524876236915588,"47171"
"2480","47",47173,6247,14579.322265625,14614.8994140625,0.427440494298935,"47173"
"2481","47",47175,2419,4498.3330078125,4498.42138671875,0.537744224071503,"47175"
"2482","47",47177,13612,29198.796875,29282.828125,0.464845806360245,"47177"
"2483","47",47179,49750,96122.4140625,95972.875,0.518375635147095,"47179"
"2484","47",47181,5857,11430.708984375,11434.74609375,0.512210786342621,"47181"
"2485","47",47183,12184,26313.564453125,26230.38671875,0.464499443769455,"47183"
"2486","47",47185,9825,20140.029296875,20185.37890625,0.486738443374634,"47185"
"2487","47",47187,106271,149726.859375,151593.421875,0.701026439666748,"47187"
"2488","47",47189,56734,96577.703125,97626.734375,0.581131815910339,"47189"
"2489","48",48001,16977,32661.626953125,32762.224609375,0.518188238143921,"48001"
"2490","48",48003,4943,10421.158203125,10346.3291015625,0.47775399684906,"48003"
"2491","48",48005,29911,56614.390625,56164.0703125,0.532564699649811,"48005"
"2492","48",48007,10512,19646.875,19773.998046875,0.531607210636139,"48007"
"2493","48",48009,4283,6486.6650390625,6474.6083984375,0.661507189273834,"48009"
"2494","48",48011,1021,1400.91076660156,1386.24987792969,0.736519455909729,"48011"
"2495","48",48013,13673,34181.59375,34296.9375,0.398665338754654,"48013"
"2496","48",48015,12274,21639.232421875,21762.9296875,0.563986539840698,"48015"
"2497","48",48017,1793,3792.67114257812,3769.4892578125,0.475661247968674,"48017"
"2498","48",48019,10218,17509.10546875,17721.048828125,0.576602458953857,"48019"
"2499","48",48021,28454,53700.6875,54245.30078125,0.524543106555939,"48021"
"2500","48",48023,1499,2833.08056640625,2836.71655273438,0.528427839279175,"48023"
"2501","48",48025,8485,17183.03125,17194.927734375,0.493459463119507,"48025"
"2502","48",48027,94994,229297.21875,230479.953125,0.412157326936722,"48027"
"2503","48",48029,589645,1264291,1272587.75,0.463343292474747,"48029"
"2504","48",48031,5685,8655.52734375,8759.9462890625,0.648976564407349,"48031"
"2505","48",48033,365,478.454376220703,482.077941894531,0.757138967514038,"48033"
"2506","48",48035,7838,13247.4013671875,13302.5654296875,0.589209675788879,"48035"
"2507","48",48037,34602,60826.84375,60372.18359375,0.573144733905792,"48037"
"2508","48",48039,121181,226358.21875,228138.625,0.531172633171082,"48039"
"2509","48",48041,67211,147729.21875,148452.96875,0.452742725610733,"48041"
"2510","48",48043,4252,6978.10888671875,6998.326171875,0.607573866844177,"48043"
"2511","48",48045,736,1043.93273925781,1039.08374023438,0.708316326141357,"48045"
"2512","48",48047,2596,4760.51220703125,4765.482421875,0.54475075006485,"48047"
"2513","48",48049,14026,27207.205078125,27182.17578125,0.515999913215637,"48049"
"2514","48",48051,6960,12668.2802734375,12717.353515625,0.54728364944458,"48051"
"2515","48",48053,19204,34241.3203125,34599.5625,0.555035948753357,"48053"
"2516","48",48055,12092,26820.60546875,26824.4765625,0.45078232884407,"48055"
"2517","48",48057,6965,15181.7509765625,15169.568359375,0.459142923355103,"48057"
"2518","48",48059,5579,10409.4228515625,10457.1806640625,0.533509016036987,"48059"
"2519","48",48061,92079,223500.65625,225179.109375,0.408914476633072,"48061"
"2520","48",48063,4542,8091.40771484375,8125.884765625,0.558954536914825,"48063"
"2521","48",48065,2964,4440.2373046875,4459.83642578125,0.664598345756531,"48065"
